site_name,site_id,ccamlr region,longitude_EPSG4326,latitude_EPSG4326,common_name,day,month,year,season_starting,count,accuracy,count_type,vantage,reference,notes
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2001,2001,1496,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2001,2001,2304,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2003,2003,2598,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2003,2003,1824,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2004,2004,5145,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2004,2004,5089,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2005,2005,1966,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2005,2005,2460,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2006,2006,10769,1,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2006,2006,6768,1,adults,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Franklin Island,FRAN,88.1,168.43,-76.18,emperor penguin,Unknown,Unknown,2007,2007,5005,2,chicks,aerial,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
